osm_id;ort;plz;bundesland;eintrag
1269731;Altstrimmig;56858;Rheinland-Pfalz;Weltklasse
1996945;Alt Sührkow;17166;Mecklenburg-Vorpommern;Weltklasse
1427539;Alt Tellin;17129;Mecklenburg-Vorpommern;Weltklasse
55762;Alt-Treptow;12435;Berlin;Weltklasse
1332921;Alt Tucheband;15328;Brandenburg;Weltklasse
957781;Altusried;87452;Bayern;Weltklasse
1408065;Altwarp;17375;Mecklenburg-Vorpommern;Weltklasse
1241628;Altweidelbach;55469;Rheinland-Pfalz;Weltklasse
1410793;Altwigshagen;17379;Mecklenburg-Vorpommern;Weltklasse
1451533;Alt Zachun;19230;Mecklenburg-Vorpommern;Weltklasse
1388877;Alt Zauche-Wußwerk;15913;Brandenburg;Weltklasse
442764;Alveslohe;25486;Schleswig-Holstein;Weltklasse
534148;Alzenau;63755;Bayern;Weltklasse
902672;Alzey;55232;Rheinland-Pfalz;Weltklasse
62772;Amberg;92224;Bayern;Weltklasse
958187;Amberg;86854;Bayern;Weltklasse
1846190;Amelinghausen;21385;Niedersachsen;Weltklasse
2156163;Amerang;83123;Bayern;Weltklasse
962454;Amerdingen;86735;Bayern;Weltklasse
1286625;Am Großen Bruch;39393;Sachsen-Anhalt;Weltklasse
1171847;Ammeldingen an der Our;54675;Rheinland-Pfalz;Weltklasse
1171880;Ammeldingen bei Neuerburg;54673;Rheinland-Pfalz;Weltklasse
176780;Am Mellensee;15838;Brandenburg;Weltklasse
2778907;Ammerbuch;72119;Baden-Württemberg;Weltklasse
1016395;Ammerndorf;90614;Bayern;Weltklasse
312038;Ammersbek;22949;Schleswig-Holstein;Weltklasse
1028553;Ammerthal;92260;Bayern;Weltklasse
2799906;Am Ohmberg;37345;Thüringen;Weltklasse
225501;Amöneburg;35287;Hessen;Weltklasse
393471;Amorbach;63916;Bayern;Weltklasse
941001;Ampfing;84539;Bayern;Weltklasse
394330;Am Salzhaff;18233;Mecklenburg-Vorpommern;Weltklasse
2770608;Amstetten;73340;Baden-Württemberg;Weltklasse
1851834;Amt Neuhaus;19273;Niedersachsen;Weltklasse
422409;Amtsberg;09439;Sachsen;Weltklasse
2666038;Amt Wachsenburg;99334;Thüringen;Weltklasse
2808296;Amtzell;88279;Baden-Württemberg;Weltklasse
932296;Andechs;82346;Bayern;Weltklasse
1079012;Anderlingen;27446;Niedersachsen;Weltklasse
541666;Andernach;56626;Rheinland-Pfalz;Weltklasse
2402486;An der Poststraße;06647;Sachsen-Anhalt;Weltklasse
2006684;Andervenne;49832;Niedersachsen;Weltklasse
2411239;Andisleben;99189;Thüringen;Weltklasse
453373;Angelbachtal;74918;Baden-Württemberg;Weltklasse
225487;Angelburg;35719;Hessen;Weltklasse
396220;Angelroda;99338;Thüringen;Weltklasse
941791;Anger;83454;Bayern;Weltklasse
1334084;Angermünde;16278;Brandenburg;Weltklasse
1286657;Angern;39326;Sachsen-Anhalt;Weltklasse
1286657;Angern;39517;Sachsen-Anhalt;Weltklasse
444701;Anhausen;56584;Rheinland-Pfalz;Weltklasse
1424417;Ankershagen;17219;Mecklenburg-Vorpommern;Weltklasse
1432550;Anklam;17389;Mecklenburg-Vorpommern;Weltklasse
1817198;Ankum;49577;Niedersachsen;Weltklasse
536625;Annaberg-Buchholz;09456;Sachsen;Weltklasse
2283775;Annaburg;06925;Sachsen-Anhalt;Weltklasse
1252764;Annweiler am Trifels;76855;Rheinland-Pfalz;Weltklasse
153400;Anröchte;59609;Nordrhein-Westfalen;Weltklasse
2896623;Anrode;99976;Thüringen;Weltklasse
62654;Ansbach;91522;Bayern;Weltklasse
